"langweilig

Mir ist langweilig."	"скучен

Скучно ми е."
"I like...

I like to travel"	"обичам да...

обичам да пътувам"
"to love"	"обичам"
"read (mit Konjugation) -> reading"	"Чета -> четене

чета, четеш, чете, четем, четете, четат"
"write / writing"	"Пиша -> писане"
"Exactly!"	"Точно!"
"exakt"	"Точен"
"fahren / to drive

Ich fahre (ein) Auto
Ich fahre (ein) Fahrrad"	"Карам

Карам кола
Карам колело"
"Auto"	"кола"
"Fahrrad"	"колело"
"Ich liebe dich!"	"Обичам те!"
"Zug

mit dem Zug"	"влак

с влак"
"lang"	"дълъг"
"Zugabteil"	"купе"
"eng, voll"	"тесен (adj.)
тясна
тясно
тесни"
"Tür"	"врата"
"geschlossen"	"затворен"
"offen, geöffnet"	"отворен"
"Platz, Sitz"	"мяасто"
"öffnen"	"отварям"
"neben, bei, next to/by

Der Platz ist neben der Tür.
Der Korridor ist beim Abteil."	"до

Мястото е до вратата.
Коридорът е до купето."
"mittig, in der Mitte"	"среда"
"Hier!"	"Ето!"
"nett, höflich"	"любезен"
"Tasche"	"чанта"
"Koffer"	"куфар"
"schwer"	"тежък"
"groß"	"голям
голяма
голямо
големи"
"hungrig"	"гладен"
"durstig"	"жаден"
"Flasche"	"бутилка
шише"
"Dorf, countryside"	"село"
"wunderbar"	"чудесен"
"Gute Reise!"	"Приятно пътуване!"
"auf/bei der Arbeit sein

Ich bin bei der Arbeit"	"на работа

На работа съм."
"Das ist für dich."	"Това е за теб."
"Es gibt etwas Neues.

Es gibt nichts Neues."	"Има нещо ново.

Няма нищо ново."
"Entschuldigung!"	"Извинете!"
"Hoppla! Oops!

Hoppla, Entschuldigung!"	"Опа!

Опа, извинете!"
"Willkommen!"	"Добре дошли!"
"stark, kräftig
stark im Geschmack"	"силен"
"klein"	"малък, малка, малко"
"Freund"	"приятел"
"weiß"	"бял
бяла
бяло
бели"
"Bleistift"	"молив"
"Urlaub

im Urlaub"	"отпуск

в отпуска"
"in (in einem abgeschlossenen Bereich), oder auch mal: hinein"	"в"
"von (oder Genitiv)

Die Tür des Abteils ist geschlossen.
Ich bin ein Freund von John.
Das Buch ist von Nadka. / Das ist Nadkas Buch."	"на

Вратата на купето е затворена.
Прияател съм на Джон.
Книгата е на Надка."
"auf, in

Du bist (sitzt) auf (Platz) 2."	"на

Ти си на номер две."
"mit, mittels

Sie reisen mit dem Zug."	"с

Те пътуват с влак."
"heimisch, domestic, von zuhause, vom Haus"	"домашен"
"Haus"	"къща"
"Schalter"beamte", clerk/counter assistant"	"служителка"
"nah"	"близо (adv.)

близък (adj.)"
"Ladengeschäft"	"магазин"
"noch, mehr

another, one more"	"още

още един"
"Ich höre! Bitte, sprechen Sie!"	"кажете!"
"Shopping center"	"търгровски център"
"That's all."	"Това е всичко."
"So, achso/klar; auf diese Art (und Weise)

Klar, aus England."	"така

Така, от англия."
"bedeuten

Das bedeutet, Sie sind Engländerin."	"знача

Значи сте англичанка."
"Beruf, profession"	"професията"
"Übersetzer(in)"	"преводач
преводачка"
"verheiratet sein"	"женен (m), омъжена (w)

Омъжена ли сте?"
"Kind
Kinder

Ich habe ein Kind."	"дете
деца

Имам едно дете."
"Sohn"	"син"
"Lehrer"	"учител"
"Mal

Sind Sie das erste Mal in Bulgarien?"	"път

За първи път ли сте в България?"
"kennen

Ich kenne ihr Land gut."	"познавам

Познавам страната ви добре."
"Land"	"страната"
"interessant

Dies ist sehr interessant."	"интересен

Това е много интересно."
"Was ist er (von Beruf)?"	"Какъв е той? (ugs.) / Каква е тя?

Каква професия имате?"
"Bedeutung"	"значение"
"geschieden"	"разведен
разведена"
"Großmutter"	"баба"
"Vater"	"баща"
"Bruder"	"брат"
"Schwester"	"сестра"
"Mutter"	"майка"
"Großvater"	"дядо"
"Tochter"	"дъщеря"
"Cousin
Cousine"	"братовчед
братовчедка"
"Glas (Material)"	"стъкло"
"gläsern, Glas-"	"стъклен"
"Wand"	"стена"
"(Sicht)Schutz, Trennwand"	"параван"
"mehrteilig, partitioned of

gläserne mehrteilige Trennwand"	"преграден

стъклен преграден параван"
"hoch, groß, tall"	"висок"
"neu

brandneu"	"нов

чисто нов (ugs.)"
"mein,dein,  sein,ihr,  unser,euer,  ihr

mein Zimmer"	"(Nomen mit best. Artikel) + ми,ти,  му,и,  ни,ви,  им

стаята ми"
